,URL*,ID*,Requirement*,Conformance*,Actor*,Sub-Requirement(s),Conditionality,Conditionality Description,Verifiable?,Verifiability Details,Planning To Test?,Planning To Test Details,Page,Section,Same As…,Section #,Grouping,Scope,Scope Description,Priority,Test Plan,Simulation Approach,client testing simulation implementation group,client simulation status,Test location,Test name,Notes,Questions
0,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#subscription-topics-in-r4,2,"In order to allow for discovery of supported subscription topics, this guide defines the CapabilityStatement SubscriptionTopic Canonical extension. The extension allows server implementers to advertise the canonical URLs of topics available to clients and allows clients to see the list of supported topics on a server. The extension is expected to appear, if supported, on the Subscription resource entry. Note that servers are NOT required to advertise supported topics via this extension.",MAY,Server,,,,Yes,Worth checking even though this is a MAY,Yes,Worth checking even though this is a MAY,components,subscription-topics-in-r4,,2.2.1.1,Topic Discovery,,Tested?,,Retrieve the server's capability statement and then check if the SubscriptionTopic Canonical extension appears on the Subscription resource,SIMULATED: Inferno publishes a CapabilityStatement  with topics present.,CapabilityStatement,Requested,,,,"SIMULATION DESIGN: does Inferno publsih a static CapabilityStatement, or do we allow systems to provide one that Inferno will echo? Pros of the echo approach: flexibility and tailoring to specific implementation's needs. Cons: need to identify session when /metadata calls should be open. Likely, we should have a static capability statement with topics published and maybe there is a test that clients can discover and initiate a subscription for those topics, though there is no such explicit client requirement."
1,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#subscription-topics-in-r4,3,"Supported topics can also be advertised, for example, by the CapabilityStatement.instantiates or CapabilityStatement.implementationGuide elements of a CapabilityStatement, as defined by another Implementation Guide.",MAY,Server,,,,No,Not precise enough to be consistently verified,No,Not Verifiable,components,subscription-topics-in-r4,Copy the formula above to the entire column to find duplicate requirements.,2.2.1.1,Topic Discovery,,,,,NOT SIMULATED: not enough detail.,NONE,,,,,
2,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#subscription-topics-in-r4,4,"FHIR R4 servers MAY choose to leave topic discovery completely out-of-band and part of other steps, such as registration or integration.",MAY,Server,,,,Yes,,No,"MAY requirement, support for which doesn't imply other requirements. Additionally, meeting this requirement is simply the absence of other features.",components,subscription-topics-in-r4,,2.2.1.1,Topic Discovery,,,,,"SIMULATED: Inferno may provide topics for Subscribers to use within testing instructions and will accept any topic, advertised or not.",Topic Discovery,Requested,,,,
3,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#subscriptions,5,"In order to promote widespread compatibility, cross version extensions SHOULD NOT be used on R4 subscriptions to describe any elements also described by this guide",DEPRECATED,,,,,,Planning To Test?,,,components,subscriptions,,2.2.2,,,,,,,,,,,DEPRECATED - split into 86 / 2.2.2-2 and 87 / 2.2.2-3,
4,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#subscriptions-and-fhir-versions,6,"Note that subscription notifications, by default, are made using the same FHIR version as the server. The Subscription.channel.payload element can be used to specify a different FHIR version, using syntax and values defined by the MIME Type Parameter. Servers SHALL look for this parameter during subscription negotiation and SHALL not accept requests for notification FHIR versions it cannot support (servers MAY reject or coerce, according to their policies).",DEPRECATED,,,,,,,,,components,subscriptions-and-fhir-versions,,2.2.2.2,,,,,,,,,,,DEPRECATED - split into 88 / 2.2.2.2-2 through 91 / 2.2.2.2-5,
5,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#accepting-subscription-requests,7,"When a FHIR Server accepts a request to create a Subscription, the server is indicating to the client that the server:
 - is capable of detecting when events covered by the requested SubscriptionTopic occur, and
 - is willing to make a simple best effort attempt at delivering a notification for each occurrence of a matching event.",SHALL,Server,,,,Yes,,Yes,,components,accepting-subscription-requests,,2.2.2.3,Subscription Creation,,,,Submit a Subscription to the server and validate that it can send a notification.,"SIMULATED: Inferno will verify that it has the capabilities to support the requested Subscription, including
- Channel - initially only Rest Hook supported
- other details like heartbeat may not be supported.
If the provided Subscription is something that Inferno can't handle, an error will be returned and the relevant test will be skipped.",For Basic Workflow,Implemented,,,"At the current time, we are not trying to validate that triggers occur when appropriate. This will be challenging and may not be possible.",
6,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#accepting-subscription-requests,8,When processing a request for a Subscription...a server SHOULD validate…that the SubscriptionTopic is valid and implemented by the server,SHOULD,Server,,,,Yes,,Yes,,components,accepting-subscription-requests,,2.2.2.3,Subscription Creation,,,,"Identify a SubscriptionTopic not implemented by the server (e.g.,, by requesting one from the tester) and send a Subscription request for that topic. Validate that the server rejects or adjusts  the Subscription. ","SIMULATED: Inferno by default won't require specific topics and can support any, but may in some cases require specific ones.",Later,,,,,
7,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#accepting-subscription-requests,9,When processing a request for a Subscription...a server SHOULD validate…that all requested filters are defined in the requested topic and are implemented in the server,SHOULD,Server,,,,Yes,,Yes,,components,accepting-subscription-requests,,2.2.2.3,Subscription Creation,,,,"Identify a filter not implemented by the server (e.g., by requesting one from the tester) for a given topic and send a Subscription request with that filter. Validate that the server rejects or adjusts  the Subscription. ","NOT SIMULATED: Inferno will accept all filters because in R4 there is no ability to discover filters, so it assumes that this discovery happens out of band and is out of scope.",NONE,,,,,
8,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#accepting-subscription-requests,10,When processing a request for a Subscription...a server SHOULD validate…that the channel type is known and implemented by the server,SHOULD,Server,,,,Yes,,Yes,,components,accepting-subscription-requests,,2.2.2.3,Subscription Creation,,,,"Identify a channel type not implemented by the server (e.g.,, by requesting one from the tester) and send a Subscription request for that channel type. Validate that the server rejects or adjusts  the Subscription.",SIMULATED: Inferno will only accept rest hook subscriptions initially.,Duplicate - 7,Implemented,,,,
9,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#accepting-subscription-requests,11,"When processing a request for a Subscription...a server SHOULD validate…that the channel endpoint is valid for the channel provided (e.g., is it a valid URL of the expected type)",SHOULD,Server,,,,Yes,,Yes,,components,accepting-subscription-requests,,2.2.2.3,Subscription Creation,,,,Send a Subscription request for a channel type and include an invalid URL to send notifications. Validate that the server rejects or adjusts  the Subscription.,SIMULATED: Inferno will perform basic validation of rest hook endpoints (valid HTTP URL).,Subscription Validation,Implemented,,,,
10,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#accepting-subscription-requests,12,When processing a request for a Subscription...a server SHOULD validate…that the payload configuration is known and implemented by the server,SHOULD,Server,,,,Yes,,Yes,,components,accepting-subscription-requests,,2.2.2.3,Subscription Creation,,,,"Identify a payload type not implemented by the server (e.g.,, by requesting one from the tester) and send a Subscription request for that payload type. Validate that the server rejects or adjusts  the Subscription.","SIMULATED: Inferno will support all payload content types, so this is an empty check",EMPTY,,,,,
11,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#accepting-subscription-requests,13,"When processing a request for a Subscription...a server SHOULD validate…that the payload configuration is valid for the channel type requested (e.g., complies with the server’s security policy)",SHOULD,Server,,,,Yes,,Yes,,components,accepting-subscription-requests,,2.2.2.3,Subscription Creation,,,,"Identify a payload and channel type pair not supported by the server (e.g.,, by requesting one from the tester) and send a Subscription request for that combination. Validate that the server rejects or adjusts  the Subscription.","SIMULATED: Inferno will support all payload content types, so this is an empty check",EMPTY,,,,,
12,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#subscription-notifications,14,"In ... FHIR R4 ... notifications are based on a history Bundle. The first entry always contains SubscriptionStatus information, encoded as ... a Parameters resource using the Backport SubscriptionStatus Profile in FHIR R4",SHALL,Server,,,,Yes,,Yes,,components,subscription-notifications,,2.2.3,Notification Content,,,,"When validating a notification (including handshakes, heartbeats, and events), check that  1. the body is a Bundle, 2. the Bundle has type 'history', and 3. the first entry is a Parameters instance that conforms to the Backport SubscriptionStatus Profile",TESTER-DIRECTED: Inferno will rely on testers to provide appropriate notifications because generating notification that have the expected outcome within a client system is not generally possible for a testing tool like Inferno. These Bundles will be validated using the logic descriped in the Test Plan.,Apply existing server validation to tester-provided notifications,Implemented,,notification_validation,,
13,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#subscription-notifications,15,"Note that since notifications use history type Bundles, all notifications need to comply with the requirements for that bundle type. Specifically, there are two invariants on Bundle (bdl-3 and bdl-4) that require a Bundle.entry.request element for every Bundle.entry. 
- For the status resource (entry[0]) the request SHALL be filled out to match a request to the $status operation. 
- for additional entries  the request SHOULD be filled out in a way that makes sense given the subscription (e.g.,  a POST or PUT operation on the resource,  etc.). However,  a server MAY choose to simply include a GET to the relevant resource instead.",SHALL,Server,,,,Yes,,Yes,,components,subscription-notifications,,2.2.3,Notification Content,,,,"When validating a notification sent by the server (including handshakes, heartbeats, and events), check that in the first entry the `entry.request.url` has a url that ends with `Subscription/[Subscription_id]/$status`. HL7 validator checks will make sure that entry.request.url is populated on all entries, but no further valation will be done.",TESTER-DIRECTED: Inferno will rely on testers to provide appropriate notifications because generating notification that have the expected outcome within a client system is not generally possible for a testing tool like Inferno. These Bundles will be validated using the logic descriped in the Test Plan.,Apply existing server validation to tester-provided notifications,Implemented,,notification_validation,,
