,URL*,ID*,Requirement*,Conformance*,Actor*,Sub-Requirement(s),Conditionality,Conditionality Description,Verifiable?,Verifiability Details,Planning To Test?,Planning To Test Details,Page,Section,Same As…,Section #,Grouping,Scope,Scope Description,Priority,Test Plan,Simulation Approach,client testing simulation implementation group,client simulation status,Test location,Test name,Notes,Questions,reference_text
0,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#subscription-topics-in-r4,2,"In order to allow for discovery of supported subscription topics, this guide defines the CapabilityStatement SubscriptionTopic Canonical extension. The extension allows server implementers to advertise the canonical URLs of topics available to clients and allows clients to see the list of supported topics on a server. The extension is expected to appear, if supported, on the Subscription resource entry. Note that servers are NOT required to advertise supported topics via this extension.",MAY,Server,,,,Yes,Worth checking even though this is a MAY,Yes,Worth checking even though this is a MAY,components,subscription-topics-in-r4,,2.2.1.1,Topic Discovery,,Tested?,,Retrieve the server's capability statement and then check if the SubscriptionTopic Canonical extension appears on the Subscription resource,SIMULATED: Inferno publishes a CapabilityStatement  with topics present.,CapabilityStatement,Requested,,,,"SIMULATION DESIGN: does Inferno publsih a static CapabilityStatement, or do we allow systems to provide one that Inferno will echo? Pros of the echo approach: flexibility and tailoring to specific implementation's needs. Cons: need to identify session when /metadata calls should be open. Likely, we should have a static capability statement with topics published and maybe there is a test that clients can discover and initiate a subscription for those topics, though there is no such explicit client requirement.","Subscription Topics in R4
SubscriptionTopic resources contain information that is difficult to model without an appropriate resource to start from.  There was an attempt to profile the Basic resource with extensions, but the complexity resulted in very low usability.  Combined with use-case evaluation indicated that the most urgent and likely support of topic-based subscriptions would be relying on pre-defined topics with fixed canonical URLs (e.g., topics defined by an Implementation Guide), it was decided to leave topic definitions out-of-scope in R4.SubscriptionTopicSubscriptionTopic resources contain information that is difficult to model without an appropriate resource to start from.  There was an attempt to profile the BasicBasic resource with extensions, but the complexity resulted in very low usability.  Combined with use-case evaluation indicated that the most urgent and likely support of topic-based subscriptions would be relying on pre-defined topics with fixed canonical URLs (e.g., topics defined by an Implementation Guide), it was decided to leave topic definitions out-of-scope in R4.
In order to allow for discovery of supported subscription topics, this guide defines the CapabilityStatement SubscriptionTopic Canonical extension.  The extension allows server implementers to advertise the canonical URLs of topics available to clients and allows clients to see the list of supported topics on a server.  The extension is expected to appear, if supported, on the Subscription resource entry.  Note that servers are NOT required to advertise supported topics via this extension.  Supported topics can also be advertised, for example, by the CapabilityStatement.instantiates or CapabilityStatement.implementationGuide elements of a CapabilityStatement, as defined by another Implementation Guide.  Finally, FHIR R4 servers MAY choose to leave topic discovery completely out-of-band and part of other steps, such as registration or integration.In order to allow for discovery of supported subscription topics, this guide defines the CapabilityStatement SubscriptionTopic CanonicalCapabilityStatement SubscriptionTopic Canonical extension.  The extension allows server implementers to advertise the canonical URLs of topics available to clients and allows clients to see the list of supported topics on a server.  The extension is expected to appear, if supported, on the SubscriptionSubscription resource entry.  Note that servers are NOT required to advertise supported topics via this extension.  Supported topics can also be advertised, for example, by the CapabilityStatement.instantiatesCapabilityStatement.instantiates or CapabilityStatement.implementationGuideCapabilityStatement.implementationGuide elements of a CapabilityStatement, as defined by another Implementation Guide.  Finally, FHIR R4 servers MAY choose to leave topic discovery completely out-of-band and part of other steps, such as registration or integration.
Full definitions of subscription topics are considered out-of-scope for FHIR R4 implementations.  Since the full topic definitions are out-of-scope, FHIR R4 servers are not able to support custom topics submitted by clients.  If that functionality is required, a server may choose to expose a limited R4B endpoint to enable such support.Full definitions of subscription topics are considered out-of-scope for FHIR R4 implementations.  Since the full topic definitions are out-of-scope, FHIR R4 servers are not able to support custom topics submitted by clients.  If that functionality is required, a server may choose to expose a limited R4B endpoint to enable such support.
Implementers adding server-side support for topic-based subscriptions are encouraged (but not required) to use the R4B or R5 definitions internally, in order to ease the transition to future versions.Implementers adding server-side support for topic-based subscriptions are encouraged (but not required) to use the R4B or R5 definitions internally, in order to ease the transition to future versions.
Subscriptions"
1,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#subscription-topics-in-r4,3,"Supported topics can also be advertised, for example, by the CapabilityStatement.instantiates or CapabilityStatement.implementationGuide elements of a CapabilityStatement, as defined by another Implementation Guide.",MAY,Server,,,,No,Not precise enough to be consistently verified,No,Not Verifiable,components,subscription-topics-in-r4,Copy the formula above to the entire column to find duplicate requirements.,2.2.1.1,Topic Discovery,,,,,NOT SIMULATED: not enough detail.,NONE,,,,,,"Subscription Topics in R4
SubscriptionTopic resources contain information that is difficult to model without an appropriate resource to start from.  There was an attempt to profile the Basic resource with extensions, but the complexity resulted in very low usability.  Combined with use-case evaluation indicated that the most urgent and likely support of topic-based subscriptions would be relying on pre-defined topics with fixed canonical URLs (e.g., topics defined by an Implementation Guide), it was decided to leave topic definitions out-of-scope in R4.SubscriptionTopicSubscriptionTopic resources contain information that is difficult to model without an appropriate resource to start from.  There was an attempt to profile the BasicBasic resource with extensions, but the complexity resulted in very low usability.  Combined with use-case evaluation indicated that the most urgent and likely support of topic-based subscriptions would be relying on pre-defined topics with fixed canonical URLs (e.g., topics defined by an Implementation Guide), it was decided to leave topic definitions out-of-scope in R4.
In order to allow for discovery of supported subscription topics, this guide defines the CapabilityStatement SubscriptionTopic Canonical extension.  The extension allows server implementers to advertise the canonical URLs of topics available to clients and allows clients to see the list of supported topics on a server.  The extension is expected to appear, if supported, on the Subscription resource entry.  Note that servers are NOT required to advertise supported topics via this extension.  Supported topics can also be advertised, for example, by the CapabilityStatement.instantiates or CapabilityStatement.implementationGuide elements of a CapabilityStatement, as defined by another Implementation Guide.  Finally, FHIR R4 servers MAY choose to leave topic discovery completely out-of-band and part of other steps, such as registration or integration.In order to allow for discovery of supported subscription topics, this guide defines the CapabilityStatement SubscriptionTopic CanonicalCapabilityStatement SubscriptionTopic Canonical extension.  The extension allows server implementers to advertise the canonical URLs of topics available to clients and allows clients to see the list of supported topics on a server.  The extension is expected to appear, if supported, on the SubscriptionSubscription resource entry.  Note that servers are NOT required to advertise supported topics via this extension.  Supported topics can also be advertised, for example, by the CapabilityStatement.instantiatesCapabilityStatement.instantiates or CapabilityStatement.implementationGuideCapabilityStatement.implementationGuide elements of a CapabilityStatement, as defined by another Implementation Guide.  Finally, FHIR R4 servers MAY choose to leave topic discovery completely out-of-band and part of other steps, such as registration or integration.
Full definitions of subscription topics are considered out-of-scope for FHIR R4 implementations.  Since the full topic definitions are out-of-scope, FHIR R4 servers are not able to support custom topics submitted by clients.  If that functionality is required, a server may choose to expose a limited R4B endpoint to enable such support.Full definitions of subscription topics are considered out-of-scope for FHIR R4 implementations.  Since the full topic definitions are out-of-scope, FHIR R4 servers are not able to support custom topics submitted by clients.  If that functionality is required, a server may choose to expose a limited R4B endpoint to enable such support.
Implementers adding server-side support for topic-based subscriptions are encouraged (but not required) to use the R4B or R5 definitions internally, in order to ease the transition to future versions.Implementers adding server-side support for topic-based subscriptions are encouraged (but not required) to use the R4B or R5 definitions internally, in order to ease the transition to future versions.
Subscriptions"
2,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#subscription-topics-in-r4,4,"FHIR R4 servers MAY choose to leave topic discovery completely out-of-band and part of other steps, such as registration or integration.",MAY,Server,,,,Yes,,No,"MAY requirement, support for which doesn't imply other requirements. Additionally, meeting this requirement is simply the absence of other features.",components,subscription-topics-in-r4,,2.2.1.1,Topic Discovery,,,,,"SIMULATED: Inferno may provide topics for Subscribers to use within testing instructions and will accept any topic, advertised or not.",Topic Discovery,Requested,,,,,"Subscription Topics in R4
SubscriptionTopic resources contain information that is difficult to model without an appropriate resource to start from.  There was an attempt to profile the Basic resource with extensions, but the complexity resulted in very low usability.  Combined with use-case evaluation indicated that the most urgent and likely support of topic-based subscriptions would be relying on pre-defined topics with fixed canonical URLs (e.g., topics defined by an Implementation Guide), it was decided to leave topic definitions out-of-scope in R4.SubscriptionTopicSubscriptionTopic resources contain information that is difficult to model without an appropriate resource to start from.  There was an attempt to profile the BasicBasic resource with extensions, but the complexity resulted in very low usability.  Combined with use-case evaluation indicated that the most urgent and likely support of topic-based subscriptions would be relying on pre-defined topics with fixed canonical URLs (e.g., topics defined by an Implementation Guide), it was decided to leave topic definitions out-of-scope in R4.
In order to allow for discovery of supported subscription topics, this guide defines the CapabilityStatement SubscriptionTopic Canonical extension.  The extension allows server implementers to advertise the canonical URLs of topics available to clients and allows clients to see the list of supported topics on a server.  The extension is expected to appear, if supported, on the Subscription resource entry.  Note that servers are NOT required to advertise supported topics via this extension.  Supported topics can also be advertised, for example, by the CapabilityStatement.instantiates or CapabilityStatement.implementationGuide elements of a CapabilityStatement, as defined by another Implementation Guide.  Finally, FHIR R4 servers MAY choose to leave topic discovery completely out-of-band and part of other steps, such as registration or integration.In order to allow for discovery of supported subscription topics, this guide defines the CapabilityStatement SubscriptionTopic CanonicalCapabilityStatement SubscriptionTopic Canonical extension.  The extension allows server implementers to advertise the canonical URLs of topics available to clients and allows clients to see the list of supported topics on a server.  The extension is expected to appear, if supported, on the SubscriptionSubscription resource entry.  Note that servers are NOT required to advertise supported topics via this extension.  Supported topics can also be advertised, for example, by the CapabilityStatement.instantiatesCapabilityStatement.instantiates or CapabilityStatement.implementationGuideCapabilityStatement.implementationGuide elements of a CapabilityStatement, as defined by another Implementation Guide.  Finally, FHIR R4 servers MAY choose to leave topic discovery completely out-of-band and part of other steps, such as registration or integration.
Full definitions of subscription topics are considered out-of-scope for FHIR R4 implementations.  Since the full topic definitions are out-of-scope, FHIR R4 servers are not able to support custom topics submitted by clients.  If that functionality is required, a server may choose to expose a limited R4B endpoint to enable such support.Full definitions of subscription topics are considered out-of-scope for FHIR R4 implementations.  Since the full topic definitions are out-of-scope, FHIR R4 servers are not able to support custom topics submitted by clients.  If that functionality is required, a server may choose to expose a limited R4B endpoint to enable such support.
Implementers adding server-side support for topic-based subscriptions are encouraged (but not required) to use the R4B or R5 definitions internally, in order to ease the transition to future versions.Implementers adding server-side support for topic-based subscriptions are encouraged (but not required) to use the R4B or R5 definitions internally, in order to ease the transition to future versions.
Subscriptions"
3,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#subscriptions,5,"In order to promote widespread compatibility, cross version extensions SHOULD NOT be used on R4 subscriptions to describe any elements also described by this guide",DEPRECATED,,,,,,Planning To Test?,,,components,subscriptions,,2.2.2,,,,,,,,,,,DEPRECATED - split into 86 / 2.2.2-2 and 87 / 2.2.2-3,,"Subscriptions
The Subscription resource is used to request notifications for a specific client about a specific topic. Conceptually, a subscription is a concrete request for a single client to receive notifications per a single topic.The SubscriptionSubscription resource is used to request notifications for a specific client about a specific topic. Conceptually, a subscription is a concrete request for a single client to receive notifications per a single topic.
For example, a subscription may ask for notifications based on an âEncounter in-progressâ topic, such as the one briefly described as an example in Subscription Topics.  The subscription requires a link to the canonical URL of the topic, such as http://server.example.org/fhir/subscriptiontopics/encounter-in-progress, information about the channel, such as requesting notifications via rest-hook to the endpoint at http://client.example.org/notification-endpoint/abc), and payload configuration, such as requesting that bundles are encoded as application/fhir+json and include only identifiers (id-only).  Additionally, a subscription sets the filters which are applied to determine when notifications should be sent, such as indicating that only notifications for Patient/123 should be sent.  More details about filters can be found in the Subscription Filters section.For example, a subscription may ask for notifications based on an âEncounter in-progressâ topic, such as the one briefly described as an example in Subscription TopicsSubscription Topics.  The subscription requires a link to the canonical URL of the topic, such as http://server.example.org/fhir/subscriptiontopics/encounter-in-progresshttp://server.example.org/fhir/subscriptiontopics/encounter-in-progress, information about the channel, such as requesting notifications via rest-hookrest-hook to the endpoint at http://client.example.org/notification-endpoint/abchttp://client.example.org/notification-endpoint/abc), and payload configuration, such as requesting that bundles are encoded as application/fhir+jsonapplication/fhir+json and include only identifiers (id-onlyid-only).  Additionally, a subscription sets the filters which are applied to determine when notifications should be sent, such as indicating that only notifications for Patient/123Patient/123 should be sent.  More details about filters can be found in the Subscription FiltersSubscription Filters section.
In order to support topic-based subscriptions in R4, this guide defines several extensions for use on the R4 Subscription resource.  A list of extensions defined by this guide can be found on the Artifacts page. Note that the future FHIR R5 publication may define capabilities included in this specification as cross-version extensions. Since the FHIR R5 is currently under development, there are no guarantees these extensions will meet the requirements of this guide. In order to promote widespread compatibility, cross version extensions SHOULD NOT be used on R4 subscriptions to describe any elements also described by this guideIn order to support topic-based subscriptions in R4, this guide defines several extensions for use on the R4 SubscriptionR4 Subscription resource.  A list of extensions defined by this guide can be found on the ArtifactsArtifacts page. Note that the future FHIR R5 publication may define capabilities included in this specification as cross-version extensions. Since the FHIR R5 is currently under development, there are no guarantees these extensions will meet the requirements of this guide. In order to promote widespread compatibility, cross version extensions SHOULD NOT be used on R4 subscriptions to describe any elements also described by this guide
In order to link a Subscription to a SubscriptionTopic and prevent any confusion between the R4 query-based and topic-based implementations, the link to a SubscriptionTopic is specified in the Subscription.criteria field.  For more details, please see the Subscription Profile in this guide.In order to link a SubscriptionSubscription to a SubscriptionTopicSubscriptionTopic and prevent any confusion between the R4 query-based and topic-based implementations, the link to a SubscriptionTopicSubscriptionTopic is specified in the Subscription.criteriaSubscription.criteria field.  For more details, please see the Subscription ProfileSubscription Profile in this guide.
Subscription Filters"
4,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#subscriptions-and-fhir-versions,6,"Note that subscription notifications, by default, are made using the same FHIR version as the server. The Subscription.channel.payload element can be used to specify a different FHIR version, using syntax and values defined by the MIME Type Parameter. Servers SHALL look for this parameter during subscription negotiation and SHALL not accept requests for notification FHIR versions it cannot support (servers MAY reject or coerce, according to their policies).",DEPRECATED,,,,,,,,,components,subscriptions-and-fhir-versions,,2.2.2.2,,,,,,,,,,,DEPRECATED - split into 88 / 2.2.2.2-2 through 91 / 2.2.2.2-5,,"Subscriptions and FHIR Versions
Note that subscription notifications, by default, are made using the same FHIR version as the server.  The Subscription.channel.payload element can be used to specify a different FHIR version, using syntax and values defined by the MIME Type Parameter.  Servers SHALL look for this parameter during subscription negotiation and SHALL not accept requests for notification FHIR versions it cannot support (servers MAY reject or coerce, according to their policies).Note that subscription notifications, by default, are made using the same FHIR version as the server.  The Subscription.channel.payloadSubscription.channel.payload element can be used to specify a different FHIR version, using syntax and values defined by the MIME Type ParameterMIME Type Parameter.  Servers SHALL look for this parameter during subscription negotiation and SHALL not accept requests for notification FHIR versions it cannot support (servers MAY reject or coerce, according to their policies).
For example, a request for notifications encoded as application/fhir+json; fhirVersion=4.3 explicitly asks for notifications conforming to the FHIR R4B notification format, while a request for application/fhir+json; fhirVersion=4.0 explicitly asks for notifications conformant to FHIR R4.  This mechanism allows for more flexibility during upgrades, ensuring that servers and clients can continue to operate across version changes.For example, a request for notifications encoded as application/fhir+json; fhirVersion=4.3application/fhir+json; fhirVersion=4.3 explicitly asks for notifications conforming to the FHIR R4B notification format, while a request for application/fhir+json; fhirVersion=4.0application/fhir+json; fhirVersion=4.0 explicitly asks for notifications conformant to FHIR R4.  This mechanism allows for more flexibility during upgrades, ensuring that servers and clients can continue to operate across version changes.
More information about the differences in notifications can be found on the Notifications page.More information about the differences in notifications can be found on the NotificationsNotifications page.
Accepting Subscription Requests"
5,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#accepting-subscription-requests,7,"When a FHIR Server accepts a request to create a Subscription, the server is indicating to the client that the server:
 - is capable of detecting when events covered by the requested SubscriptionTopic occur, and
 - is willing to make a simple best effort attempt at delivering a notification for each occurrence of a matching event.",SHALL,Server,,,,Yes,,Yes,,components,accepting-subscription-requests,,2.2.2.3,Subscription Creation,,,,Submit a Subscription to the server and validate that it can send a notification.,"SIMULATED: Inferno will verify that it has the capabilities to support the requested Subscription, including
- Channel - initially only Rest Hook supported
- other details like heartbeat may not be supported.
If the provided Subscription is something that Inferno can't handle, an error will be returned and the relevant test will be skipped.",For Basic Workflow,Implemented,,,"At the current time, we are not trying to validate that triggers occur when appropriate. This will be challenging and may not be possible.",,"Accepting Subscription Requests
When a FHIR Server accepts a request to create a Subscription, the server is indicating to the client that the server:When a FHIR Server accepts a request to create a SubscriptionSubscription, the server is indicating to the client that the server:

is capable of detecting when events covered by the requested SubscriptionTopic occur, and
is willing to make a simple best effort attempt at delivering a notification for each occurrence of a matching event.

is capable of detecting when events covered by the requested SubscriptionTopic occur, andis capable of detecting when events covered by the requested SubscriptionTopic occur, and
is willing to make a simple best effort attempt at delivering a notification for each occurrence of a matching event.is willing to make a simple best effort attempt at delivering a notification for each occurrence of a matching event.

When processing a request for a Subscription, following are some checks that a server SHOULD validate:When processing a request for a SubscriptionSubscription, following are somesome checks that a server SHOULD validate:

that the SubscriptionTopic is valid and implemented by the server
that all requested filters are defined in the requested topic and are implemented in the server
that the channel type is known and implemented by the server
that the channel endpoint is valid for the channel provided (e.g., is it a valid URL of the expected type)
that the payload configuration is known and implemented by the server
that the payload configuration is valid for the channel type requested (e.g., complies with the serverâs security policy)

that the SubscriptionTopic is valid and implemented by the serverthat the SubscriptionTopicSubscriptionTopic is valid and implemented by the server
that all requested filters are defined in the requested topic and are implemented in the serverthat all requested filters are defined in the requested topic and are implemented in the server
that the channel type is known and implemented by the serverthat the channel type is known and implemented by the server
that the channel endpoint is valid for the channel provided (e.g., is it a valid URL of the expected type)that the channel endpoint is valid for the channel provided (e.g., is it a valid URL of the expected type)
that the payload configuration is known and implemented by the serverthat the payload configuration is known and implemented by the server
that the payload configuration is valid for the channel type requested (e.g., complies with the serverâs security policy)that the payload configuration is valid for the channel type requested (e.g., complies with the serverâs security policy)

Subscription Notifications"
6,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#accepting-subscription-requests,8,When processing a request for a Subscription...a server SHOULD validate…that the SubscriptionTopic is valid and implemented by the server,SHOULD,Server,,,,Yes,,Yes,,components,accepting-subscription-requests,,2.2.2.3,Subscription Creation,,,,"Identify a SubscriptionTopic not implemented by the server (e.g.,, by requesting one from the tester) and send a Subscription request for that topic. Validate that the server rejects or adjusts  the Subscription. ","SIMULATED: Inferno by default won't require specific topics and can support any, but may in some cases require specific ones.",Later,,,,,,"Accepting Subscription Requests
When a FHIR Server accepts a request to create a Subscription, the server is indicating to the client that the server:When a FHIR Server accepts a request to create a SubscriptionSubscription, the server is indicating to the client that the server:

is capable of detecting when events covered by the requested SubscriptionTopic occur, and
is willing to make a simple best effort attempt at delivering a notification for each occurrence of a matching event.

is capable of detecting when events covered by the requested SubscriptionTopic occur, andis capable of detecting when events covered by the requested SubscriptionTopic occur, and
is willing to make a simple best effort attempt at delivering a notification for each occurrence of a matching event.is willing to make a simple best effort attempt at delivering a notification for each occurrence of a matching event.

When processing a request for a Subscription, following are some checks that a server SHOULD validate:When processing a request for a SubscriptionSubscription, following are somesome checks that a server SHOULD validate:

that the SubscriptionTopic is valid and implemented by the server
that all requested filters are defined in the requested topic and are implemented in the server
that the channel type is known and implemented by the server
that the channel endpoint is valid for the channel provided (e.g., is it a valid URL of the expected type)
that the payload configuration is known and implemented by the server
that the payload configuration is valid for the channel type requested (e.g., complies with the serverâs security policy)

that the SubscriptionTopic is valid and implemented by the serverthat the SubscriptionTopicSubscriptionTopic is valid and implemented by the server
that all requested filters are defined in the requested topic and are implemented in the serverthat all requested filters are defined in the requested topic and are implemented in the server
that the channel type is known and implemented by the serverthat the channel type is known and implemented by the server
that the channel endpoint is valid for the channel provided (e.g., is it a valid URL of the expected type)that the channel endpoint is valid for the channel provided (e.g., is it a valid URL of the expected type)
that the payload configuration is known and implemented by the serverthat the payload configuration is known and implemented by the server
that the payload configuration is valid for the channel type requested (e.g., complies with the serverâs security policy)that the payload configuration is valid for the channel type requested (e.g., complies with the serverâs security policy)

Subscription Notifications"
7,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#accepting-subscription-requests,9,When processing a request for a Subscription...a server SHOULD validate…that all requested filters are defined in the requested topic and are implemented in the server,SHOULD,Server,,,,Yes,,Yes,,components,accepting-subscription-requests,,2.2.2.3,Subscription Creation,,,,"Identify a filter not implemented by the server (e.g., by requesting one from the tester) for a given topic and send a Subscription request with that filter. Validate that the server rejects or adjusts  the Subscription. ","NOT SIMULATED: Inferno will accept all filters because in R4 there is no ability to discover filters, so it assumes that this discovery happens out of band and is out of scope.",NONE,,,,,,"Accepting Subscription Requests
When a FHIR Server accepts a request to create a Subscription, the server is indicating to the client that the server:When a FHIR Server accepts a request to create a SubscriptionSubscription, the server is indicating to the client that the server:

is capable of detecting when events covered by the requested SubscriptionTopic occur, and
is willing to make a simple best effort attempt at delivering a notification for each occurrence of a matching event.

is capable of detecting when events covered by the requested SubscriptionTopic occur, andis capable of detecting when events covered by the requested SubscriptionTopic occur, and
is willing to make a simple best effort attempt at delivering a notification for each occurrence of a matching event.is willing to make a simple best effort attempt at delivering a notification for each occurrence of a matching event.

When processing a request for a Subscription, following are some checks that a server SHOULD validate:When processing a request for a SubscriptionSubscription, following are somesome checks that a server SHOULD validate:

that the SubscriptionTopic is valid and implemented by the server
that all requested filters are defined in the requested topic and are implemented in the server
that the channel type is known and implemented by the server
that the channel endpoint is valid for the channel provided (e.g., is it a valid URL of the expected type)
that the payload configuration is known and implemented by the server
that the payload configuration is valid for the channel type requested (e.g., complies with the serverâs security policy)

that the SubscriptionTopic is valid and implemented by the serverthat the SubscriptionTopicSubscriptionTopic is valid and implemented by the server
that all requested filters are defined in the requested topic and are implemented in the serverthat all requested filters are defined in the requested topic and are implemented in the server
that the channel type is known and implemented by the serverthat the channel type is known and implemented by the server
that the channel endpoint is valid for the channel provided (e.g., is it a valid URL of the expected type)that the channel endpoint is valid for the channel provided (e.g., is it a valid URL of the expected type)
that the payload configuration is known and implemented by the serverthat the payload configuration is known and implemented by the server
that the payload configuration is valid for the channel type requested (e.g., complies with the serverâs security policy)that the payload configuration is valid for the channel type requested (e.g., complies with the serverâs security policy)

Subscription Notifications"
8,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#accepting-subscription-requests,10,When processing a request for a Subscription...a server SHOULD validate…that the channel type is known and implemented by the server,SHOULD,Server,,,,Yes,,Yes,,components,accepting-subscription-requests,,2.2.2.3,Subscription Creation,,,,"Identify a channel type not implemented by the server (e.g.,, by requesting one from the tester) and send a Subscription request for that channel type. Validate that the server rejects or adjusts  the Subscription.",SIMULATED: Inferno will only accept rest hook subscriptions initially.,Duplicate - 7,Implemented,,,,,"Accepting Subscription Requests
When a FHIR Server accepts a request to create a Subscription, the server is indicating to the client that the server:When a FHIR Server accepts a request to create a SubscriptionSubscription, the server is indicating to the client that the server:

is capable of detecting when events covered by the requested SubscriptionTopic occur, and
is willing to make a simple best effort attempt at delivering a notification for each occurrence of a matching event.

is capable of detecting when events covered by the requested SubscriptionTopic occur, andis capable of detecting when events covered by the requested SubscriptionTopic occur, and
is willing to make a simple best effort attempt at delivering a notification for each occurrence of a matching event.is willing to make a simple best effort attempt at delivering a notification for each occurrence of a matching event.

When processing a request for a Subscription, following are some checks that a server SHOULD validate:When processing a request for a SubscriptionSubscription, following are somesome checks that a server SHOULD validate:

that the SubscriptionTopic is valid and implemented by the server
that all requested filters are defined in the requested topic and are implemented in the server
that the channel type is known and implemented by the server
that the channel endpoint is valid for the channel provided (e.g., is it a valid URL of the expected type)
that the payload configuration is known and implemented by the server
that the payload configuration is valid for the channel type requested (e.g., complies with the serverâs security policy)

that the SubscriptionTopic is valid and implemented by the serverthat the SubscriptionTopicSubscriptionTopic is valid and implemented by the server
that all requested filters are defined in the requested topic and are implemented in the serverthat all requested filters are defined in the requested topic and are implemented in the server
that the channel type is known and implemented by the serverthat the channel type is known and implemented by the server
that the channel endpoint is valid for the channel provided (e.g., is it a valid URL of the expected type)that the channel endpoint is valid for the channel provided (e.g., is it a valid URL of the expected type)
that the payload configuration is known and implemented by the serverthat the payload configuration is known and implemented by the server
that the payload configuration is valid for the channel type requested (e.g., complies with the serverâs security policy)that the payload configuration is valid for the channel type requested (e.g., complies with the serverâs security policy)

Subscription Notifications"
9,https://hl7.org/fhir/uv/subscriptions-backport/STU1.1/components.html#accepting-subscription-requests,11,"When processing a request for a Subscription...a server SHOULD validate…that the channel endpoint is valid for the channel provided (e.g., is it a valid URL of the expected type)",SHOULD,Server,,,,Yes,,Yes,,components,accepting-subscription-requests,,2.2.2.3,Subscription Creation,,,,Send a Subscription request for a channel type and include an invalid URL to send notifications. Validate that the server rejects or adjusts  the Subscription.,SIMULATED: Inferno will perform basic validation of rest hook endpoints (valid HTTP URL).,Subscription Validation,Implemented,,,,,"Accepting Subscription Requests
When a FHIR Server accepts a request to create a Subscription, the server is indicating to the client that the server:When a FHIR Server accepts a request to create a SubscriptionSubscription, the server is indicating to the client that the server:

is capable of detecting when events covered by the requested SubscriptionTopic occur, and
is willing to make a simple best effort attempt at delivering a notification for each occurrence of a matching event.

is capable of detecting when events covered by the requested SubscriptionTopic occur, andis capable of detecting when events covered by the requested SubscriptionTopic occur, and
is willing to make a simple best effort attempt at delivering a notification for each occurrence of a matching event.is willing to make a simple best effort attempt at delivering a notification for each occurrence of a matching event.

When processing a request for a Subscription, following are some checks that a server SHOULD validate:When processing a request for a SubscriptionSubscription, following are somesome checks that a server SHOULD validate:

that the SubscriptionTopic is valid and implemented by the server
that all requested filters are defined in the requested topic and are implemented in the server
that the channel type is known and implemented by the server
that the channel endpoint is valid for the channel provided (e.g., is it a valid URL of the expected type)
that the payload configuration is known and implemented by the server
that the payload configuration is valid for the channel type requested (e.g., complies with the serverâs security policy)

that the SubscriptionTopic is valid and implemented by the serverthat the SubscriptionTopicSubscriptionTopic is valid and implemented by the server
that all requested filters are defined in the requested topic and are implemented in the serverthat all requested filters are defined in the requested topic and are implemented in the server
that the channel type is known and implemented by the serverthat the channel type is known and implemented by the server
that the channel endpoint is valid for the channel provided (e.g., is it a valid URL of the expected type)that the channel endpoint is valid for the channel provided (e.g., is it a valid URL of the expected type)
that the payload configuration is known and implemented by the serverthat the payload configuration is known and implemented by the server
that the payload configuration is valid for the channel type requested (e.g., complies with the serverâs security policy)that the payload configuration is valid for the channel type requested (e.g., complies with the serverâs security policy)

Subscription Notifications"
