Requirement,Conformance,Actor,Conditionality,sub-requirements,URL,Req Set,Id,Sub-Requirement(s)
"""The technical details of an endpoint that can be used for electronic services, such as for web services providing XDS.b or a REST endpoint for another FHIR server. This may include any security context information.""",SHALL,Server,False,NONE,"profiles.md, PlannetEndpoint profile definition",,,
"""The HealthCareService resource typically describes services offered by an organization/practitioner at a location. The resource may be used to encompass a variety of services covering the entire healthcare spectrum, including promotion, prevention, diagnostics, hospital and ambulatory care, home care, long-term care, and other health-related and community services.""",SHALL,Server,False,NONE,"profiles.md, PlannetHealthcareService profile definition",,,
"""An InsurancePlan is a discrete package of health insurance coverage benefits that are offered under a particular network type. A given payer's products typically differ by network type and/or covered benefits. A plan pairs a product's covered benefits with the particular cost sharing structure offered to a consumer. A given product may comprise multiple plans (i.e. each plan offers different cost sharing requirements for the same set of covered benefits).""",SHALL,Server,False,NONE,"profiles.md, PlannetInsurancePlan profile definition",,,
"""A Location is the physical place where healthcare services are provided, practitioners are employed, organizations are based, etc. Locations can range in scope from a room in a building to a geographic region/area.""",SHALL,Server,False,NONE,"profiles.md, PlannetLocation profile definition",,,
"""A Network refers to a healthcare provider insurance network. A healthcare provider insurance network is an aggregation of organizations and individuals that deliver a set of services across a geography through health insurance products/plans. A network is typically owned by a payer.""",SHALL,Server,False,NONE,"profiles.md, PlannetNetwork profile definition",,,
"""An organization is a formal or informal grouping of people or organizations with a common purpose, such as a company, institution, corporation, community group, or healthcare practice.""",SHALL,Server,False,NONE,"profiles.md, PlannetOrganization profile definition",,,
"""The OrganizationAffiliation resource describes relationships between two or more organizations, including the services one organization provides another, the location(s) where they provide services, the availability of those services, electronic endpoints, and other relevant information.""",SHALL,Server,False,NONE,"profiles.md, PlannetOrganizationAffiliation profile definition",,,
"""Practitioner is a person who is directly or indirectly involved in the provisioning of healthcare.""",SHALL,Server,False,NONE,"profiles.md, PlannetPractitioner profile definition",,,
"""PractitionerRole describes the role a practitioner plays at an organization, including the services they provide, the location(s) where they work, and their availability, electronic endpoints, and other relevant information.""",SHALL,Server,False,NONE,"profiles.md, PlannetPractitionerRole profile definition",,,
"""Publication of this data through a standard FHIR-based API will enable third parties to develop applications through which consumers and providers can query the participants in a payer's network that may provide services that address their health care needs.""",SHALL,Health Plan API Actor,False,NONE,Introduction section,,,
"""The IG defines the API that exposes a payer's provider network (including pharmacy locations where appropriate) for access by a consumer or provider application.""",SHALL,Health Plan API Actor,False,NONE,"Introduction section, diagram caption",,,
"""This is a query only API (GET) and does not support PUT or POST.""",SHALL,Health Plan API Actor,False,NONE,"Introduction section, diagram caption",,,
"""This implementation guide was written for a US audience and profiles resources from [US Core STU 4], where available (Practitioner, Organization and Location), and otherwise from R4 (OrganizationAffiliation, PractitionerRole, HealthCareService, Endpoint).""",SHALL,Health Plan API Actor,False,NONE,Relation to US Core and other IGs section,,,
"""The PractitionerRole profile from US Core was not used because it is over-constrained for use in a Provider Directory based on Payer information.""",SHALL NOT,Health Plan API Actor,False,NONE,Relation to US Core and other IGs section,,,
"""The Network profile is based on USCore Organization, since there was no contradiction between the USCore profile and the Plan-Net requirements.""",SHALL,Health Plan API Actor,False,NONE,Relation to US Core and other IGs section,,,
"""However, the NPI and CLIA identifier types, which are Must-Support, are clearly intended for provider organizations only and are not expected to be populated for other organization types.""",SHOULD,Health Plan API Actor,True,NONE,Relation to US Core and other IGs section,,,
"""This implementation guide assumes that the directory endpoint is known to the client.""",SHALL,Application Actor,False,NONE,Disclaimers and Assumptions section,,,
"""Access to the Plan-Net service should not require authentication, and the server should not maintain any records that could associate the consumer with the entities that were queried.""",SHOULD NOT,Plan-Net service,False,NONE,Implementation Notes > Privacy Considerations section,,,
"""A conformant Plan-Net service SHALL NOT require a directory mobile application to send consumer identifying information in order to query content.""",SHALL NOT,Plan-Net service,False,NONE,Implementation Notes > Privacy Considerations section,,,
"""A directory mobile application SHALL NOT send consumer identifiable information when querying a Plan-Net service.""",SHALL NOT,Directory mobile application,False,NONE,Implementation Notes > Privacy Considerations section,,,
"""Health Plan API actors SHALL be capable of populating all Must Support data elements as part of the query results.""",SHALL,Health Plan API,False,NONE,Implementation Notes > Must Support > Health Plan API Requirements section,,,
"""In situations where information on a particular Must Support data element is not present and the minimum cardinality is 0, the Health Plan API actors SHALL NOT include the data elements in the resource instance returned as part of the query results.""",SHALL NOT,Health Plan API,True,NONE,Implementation Notes > Must Support > Health Plan API Requirements section,,,
"""In situations where information on a particular data element is not present and the minimum cardinality is >0 SHALL send the reason for the missing information using values (such as nullFlavors) from the value set where they exist or use the dataAbsentReason extension.""",SHALL,Health Plan API,True,NONE,Implementation Notes > Must Support > Health Plan API Requirements section,,,
"""Application actors SHALL be capable of processing resource instances containing the Must Support data elements without generating an error or causing the application to fail.""",SHALL,Application,False,NONE,Implementation Notes > Must Support > Application Requirements section,,,
"""Application actors SHOULD be capable of displaying the data elements for human use or storing the information for other purposes.""",SHOULD,Application,False,NONE,Implementation Notes > Must Support > Application Requirements section,,,
"""When querying Health Plan API actors, Application actors SHALL interpret missing Must Support data elements within resource instances as data not present in the Health Plan API actors system.""",SHALL,Application,False,NONE,Implementation Notes > Must Support > Application Requirements section,,,
"""Consumer App actors SHALL be able to process resource instances containing Must Support data elements asserting missing information.""",SHALL,Consumer App,False,NONE,Implementation Notes > Must Support > Application Requirements section,,,
"""Each profile in this guide requires that the lastUpdate timestamp be provided as part of the profile's data content.""",SHALL,Health Plan API,False,NONE,Implementation Notes > Client Detection of Updates Directory Content section,,,
"""Clients that cache query results can track additions or modifications to directory content through queries that filter content using the _lastUpdated search parameter.""",MAY,Client,False,NONE,Implementation Notes > Client Detection of Updates Directory Content section,,,
"""Clients should periodically check that data cached from past queries has not been deleted by querying for the same elements by _id.""",SHOULD,Client,False,NONE,Implementation Notes > Client Detection of Updates Directory Content section,,,
"""Practitioners and Organizations indicate participation in a Network with a link to the Network using a PractitionerRole or OrganizationAffiliation instance, respectively.""",SHALL,"Practitioners, Organizations",False,NONE,Insurance Plan and Network section,,,
"""PractitionerRole and OrganizationAffiliation instances are what tie Practitioners and Organizations to HealthcareServices, Organizations, Networks and Locations.""",SHALL,"PractitionerRole, OrganizationAffiliation",False,NONE,Insurance Plan and Network section,,,
