Requirement,Conformance,Actor,Conditionality,sub-requirements,URL,*_(status_400),*_(status_401/4xx),*_(status_403),*_(status_404),*_(status_410),Req Set,Id,Sub-Requirement(s)
"""The HealthCareService resource typically describes services offered by an organization/practitioner at a location.""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/davinci-pdex-plan-net/StructureDefinition-plannet-HealthcareService.html - Definition,,,,,,,,
"""The resource may be used to encompass a variety of services covering the entire healthcare spectrum, including promotion, prevention, diagnostics, hospital and ambulatory care, home care, long-term care, and other health-related and community services.""",MAY,Server,False,NONE,http://build.fhir.org/ig/HL7/davinci-pdex-plan-net/StructureDefinition-plannet-HealthcareService.html - Definition,,,,,,,,
"""An InsurancePlan is a discrete package of health insurance coverage benefits that are offered under a particular network type.""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/davinci-pdex-plan-net/StructureDefinition-plannet-InsurancePlan.html - Definition,,,,,,,,
"""A given payer’s products typically differ by network type and/or covered benefits.""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/davinci-pdex-plan-net/StructureDefinition-plannet-InsurancePlan.html - Definition,,,,,,,,
"""A plan pairs a product’s covered benefits with the particular cost sharing structure offered to a consumer.""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/davinci-pdex-plan-net/StructureDefinition-plannet-InsurancePlan.html - Definition,,,,,,,,
"""A given product may comprise multiple plans (i.e. each plan offers different cost sharing requirements for the same set of covered benefits).""",MAY,Server,False,NONE,http://build.fhir.org/ig/HL7/davinci-pdex-plan-net/StructureDefinition-plannet-InsurancePlan.html - Definition,,,,,,,,
"""InsurancePlan describes a health insurance offering comprised of a list of covered benefits (i.e. the product), costs associated with those benefits (i.e. the plan), and additional information about the offering, such as who it is owned and administered by, a coverage area, contact information, etc.""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/davinci-pdex-plan-net/StructureDefinition-plannet-InsurancePlan.html - Definition,,,,,,,,
"""A Location is the physical place where healthcare services are provided, practitioners are employed, organizations are based, etc.""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/davinci-pdex-plan-net/StructureDefinition-plannet-Location.html - Definition,,,,,,,,
"""Locations can range in scope from a room in a building to a geographic region/area.""",MAY,Server,False,NONE,http://build.fhir.org/ig/HL7/davinci-pdex-plan-net/StructureDefinition-plannet-Location.html - Definition,,,,,,,,
"""A Network refers to a healthcare provider insurance network.""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/davinci-pdex-plan-net/StructureDefinition-plannet-Network.html - Definition,,,,,,,,
"""A healthcare provider insurance network is an aggregation of organizations and individuals that deliver a set of services across a geography through health insurance products/plans.""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/davinci-pdex-plan-net/StructureDefinition-plannet-Network.html - Definition,,,,,,,,
"""A network is typically owned by a payer.""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/davinci-pdex-plan-net/StructureDefinition-plannet-Network.html - Definition,,,,,,,,
"""In the PlanNet IG, individuals and organizations are represented as participants in a PLan-Net Network through the practitionerRole and Plan-Net-organizationAffiliation resources, respectively.""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/davinci-pdex-plan-net/StructureDefinition-plannet-Network.html - Definition,,,,,,,,
"""An organization is a formal or informal grouping of people or organizations with a common purpose, such as a company, institution, corporation, community group, or healthcare practice.""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/davinci-pdex-plan-net/StructureDefinition-plannet-Organization.html - Definition,,,,,,,,
"""The OrganizationAffiliation resource describes relationships between two or more organizations, including the services one organization provides another, the location(s) where they provide services, the availability of those services, electronic endpoints, and other relevant information.""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/davinci-pdex-plan-net/StructureDefinition-plannet-OrganizationAffiliation.html - Definition,,,,,,,,
"""Practitioner is a person who is directly or indirectly involved in the provisioning of healthcare.""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/davinci-pdex-plan-net/StructureDefinition-plannet-Practitioner.html - Definition,,,,,,,,
"""PractitionerRole describes the role a practitioner plays at an organization, including the services they provide, the location(s) where they work, and their availability, electronic endpoints, and other relevant information.""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/davinci-pdex-plan-net/StructureDefinition-plannet-PractitionerRole.html - Definition,,,,,,,,
"""[The CapabilityStatement SubscriptionTopic Canonical extension] is expected to appear, if supported, on the Subscription resource entry.""",SHOULD,Server,True,NONE,"Credits section, Paragraph 1, Sentence 3",,,,,,,,
"""Note that servers are NOT required to advertise supported topics via this extension.""",MAY,Server,True,NONE,"Credits section, Paragraph 1, Sentence 4",,,,,,,,
"""Supported topics can also be advertised, for example, by the CapabilityStatement.instantiates or CapabilityStatement.implementationGuide elements of a CapabilityStatement, as defined by another Implementation Guide.""",MAY,Server,False,NONE,"Examples Section, Paragraph 2",,,,,,,,
"""FHIR R4 servers MAY choose to leave topic discovery completely out-of-band and part of other steps, such as registration or integration.""",MAY,Server,False,NONE,"Examples Section, Paragraph 3",,,,,,,,
"""In order to promote widespread compatibility, cross version extensions SHOULD NOT be used on R4 subscriptions to describe any elements also described by this guide""",SHOULD NOT,Client,False,NONE,"Examples Section, Paragraph 4",,,,,,,,
"""Note that subscription notifications, by default, are made using the same FHIR version as the server.""",SHALL,Server,False,NONE,"Examples Section, Paragraph 5",,,,,,,,
"""The Subscription.channel.payload element can be used to specify a different FHIR version, using syntax and values defined by the MIME Type Parameter.""",MAY,Client,False,NONE,"Examples Section, Paragraph 5",,,,,,,,
"""Servers SHALL look for this parameter [Subscription.channel.payload] during subscription negotiation and SHALL not accept requests for notification FHIR versions it cannot support (servers MAY reject or coerce, according to their policies).""",SHALL,Server,False,NONE,"Examples Section, Paragraph 5",,,,,,,,
"""Servers SHALL not accept requests for notification FHIR versions it cannot support""",SHALL NOT,Server,False,NONE,"Examples Section, Paragraph 5",,,,,,,,
"""(servers MAY reject or coerce, according to their policies [when presented with requests for notification FHIR versions it cannot support])""",MAY,Server,False,NONE,"Examples Section, Paragraph 5",,,,,,,,
"""The content-type of the POST SHALL match the MIME type on the Subscription (Subscription.channel.payload).""",SHALL,Client,False,NONE,"Examples Section, Paragraph 6",,,,,,,,
"""In addition to the Subscription Status information, each notification MAY include additional resources or references to resources (URLs or ids).""",MAY,Server,False,NONE,"Examples Section, Paragraph 7",,,,,,,,
"""A directory mobile application **SHALL NOT** send consumer identifiable information when querying a Plan-Net service.""",SHALL NOT,Client,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#privacy-considerations,,,,,,,,
"""Health Plan API actors **SHALL** be capable of populating all Must Support data elements as part of the query results.""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,,,,,,
"""In situations where information on a particular Must Support data element is not present and the minimum cardinality is 0 , the Health Plan API actors **SHALL NOT** include the data elements in the resource instance returned as part of the query results.""",SHALL NOT,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,,,,,,
"""In situations where information on a particular data element is not present and the minimum cardinality is >0 **SHALL** send the reason for the missing information using values (such as nullFlavors) from the value set where they exist or use the dataAbsentReason extension.""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,,,,,,
"""Application actors **SHALL** be capable of processing resource instances containing the Must Support data elements without generating an error or causing the application to fail.""",SHALL,Client,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,,,,,,
"""Application actors **SHOULD** be capable of displaying the data elements for human use or storing the information for other purposes.""",SHOULD,Client,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,,,,,,
"""When querying Health Plan API actors, Application actors **SHALL** interpret missing Must Support data elements within resource instances as data not present in the Health Plan API actors system.""",SHALL,Client,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,,,,,,
"""Consumer App actors **SHALL** be able to process resource instances containing Must Support data elements asserting missing information.""",SHALL,Client,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,,,,,,
"""Each profile in this guide requires that the lastUpdate timestamp be provided as part of the profile's data content.""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#client-detection-of-updates-directory-content,,,,,,,,
"""HealthcareServices are typically provided by an organization, except in the case of a Practitioner that is not associated with an organization (see the solo practitioner example), and can be linked to a set of locations where service is provided, or identified as virtual services through an indicated set of virtual modalities.""",SHALL,Server,False,NONE,HealthcareService section,,,,,,,,
"""All organizations that provide service should define an appropriate set of HealthcareServices to facilitate search.""",SHOULD,Server,False,NONE,HealthcareService section,,,,,,,,
"""The HealthcareService category, specialty and type fields are the highest level of organization of the services provided by the provider's network.""",SHALL,Server,False,NONE,HealthcareService section,,,,,,,,
"""Each payer will offer one or more products -- Insurance Plans""",SHALL,Server,False,NONE,Insurance Plan and Network section,,,,,,,,
"""each plan [Insurance Plan] is associated with one or more Networks""",SHALL,Server,False,NONE,Insurance Plan and Network section,,,,,,,,
"""Practitioners and Organizations indicate participation in a Network with a link to the Network using a PractitionerRole or OrganizationAffiliation instance, respectively.""",SHALL,Server,False,NONE,Insurance Plan and Network section,,,,,,,,
"""PractitionerRole and OrganizationAffiliation instances are what tie Practitioners and Organizations to HealthcareServices, Organizations, Networks and Locations.""",SHALL,Server,False,NONE,Insurance Plan and Network section,,,,,,,,
"""Location instances provide information about location where service is provided, including contact information, address, accessibility, hours of operation and contact, as well as position (lattitude and longitude).""",SHALL,Server,False,NONE,Location section,,,,,,,,
"""Locations can also be used to represent regions using an associated or attached GeoJSON object.""",MAY,Server,False,NONE,Location section,,,,,,,,
"""Practitioner instances provide information about a specific person, including name, gender, languages spoken, and qualifications.""",SHALL,Server,False,NONE,Practitioners and Practitioner Roles section,,,,,,,,
