Requirement,Conformance,Actor,Conditionality,sub-requirements,URL,Req Set,Id,Sub-Requirement(s)
"""Updated Taxonomy Codes (Jira tickets [FHIR 31494](https://jira.hl7.org/browse/FHIR-33206?filter=14707)  - [FHIR 31499](https://jira.hl7.org/browse/FHIR-33206?filter=14707) )""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/ChangeHistory.html#changes-since-v1-0-0,,,
"""Make HealthcareService Delivery Method optional""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/ChangeHistory.html#changes-since-v1-0-0,,,
"""Change Organization.type binding from OrganizationType to NetworkType""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/ChangeHistory.html#changes-since-v1-0-0,,,
"""Added 'catastrophic' options to Insurance Plan Types""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/ChangeHistory.html#changes-since-v1-0-0,,,
"""Ability to manage Provider Directory List for incoming/outgoing providers""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/ChangeHistory.html#changes-since-v1-0-0,,,
"""Update Resource Relationships Diagram""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/ChangeHistory.html#changes-since-v1-0-0,,,
"""Fix Spelling""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/ChangeHistory.html#changes-since-v1-0-0,,,
"""Transitioned IG to Sushi 1.0.0 directory structure""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/ChangeHistory.html#changes-since-v1-0-0,,,
"""The content-type of the POST SHALL match the MIME type on the Subscription (Subscription.channel.payload).""",SHALL,Client,False,NONE,https://build.fhir.org/ig/HL7/davinci-pdex-plan-net/examples.html#examples,,,
"""each notification MAY include additional resources or references to resources (URLs or ids).""",MAY,Server,False,NONE,https://build.fhir.org/ig/HL7/davinci-pdex-plan-net/examples.html#examples,,,
"""A conformant Plan-Net service SHALL NOT require a directory mobile application to send consumer identifying information in order to query content.""",SHALL NOT,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#privacy-considerations,,,
"""A directory mobile application SHALL NOT send consumer identifiable information when querying a Plan-Net service.""",SHALL NOT,Client,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#privacy-considerations,,,
"""When querying and reading the Plan-Net Profiles defined in this IG, Must Support on any profile data element SHALL be interpreted as follows""",SHALL,"Client, Server",False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,
"""Health Plan API actors SHALL be capable of populating all Must Support data elements as part of the query results.""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,
"""In situations where information on a particular Must Support data element is not present and the minimum cardinality is 0, the Health Plan API actors SHALL NOT include the data elements in the resource instance returned as part of the query results.""",SHALL NOT,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,
"""In situations where information on a particular data element is not present and the minimum cardinality is >0 SHALL send the reason for the missing information using values (such as nullFlavors) from the value set where they exist or use the dataAbsentReason extension.""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,
"""Application actors SHALL be capable of processing resource instances containing the Must Support data elements without generating an error or causing the application to fail.""",SHALL,Client,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,
"""Application actors SHOULD be capable of displaying the data elements for human use or storing the information for other purposes.""",SHOULD,Client,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,
"""When querying Health Plan API actors, Application actors SHALL interpret missing Must Support data elements within resource instances as data not present in the Health Plan API actors system.""",SHALL,Client,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,
"""Consumer App actors SHALL be able to process resource instances containing Must Support data elements asserting missing information.""",SHALL,Client,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,
"""Each profile in this guide requires that the lastUpdate timestamp be provided as part of the profile's data content.""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#client-detection-of-updates-directory-content,,,
"""PractitionerRole and OrganizationAffiliation instances are what tie Practitioners and Organizations to HealthcareServices, Organizations, Networks and Locations.""",SHALL,Server,False,NONE,"Insurance Plan and Network section, paragraph 1",,,
"""Organization Affiliation instances describe a role, and link a participating organization that provides or performs the role, with an organization where that role is available, and also links the participating organization to a HealthcareServices and networks.""",SHALL,Server,False,NONE,Organizations and Organization Affiliations section,,,
"""OrganizationalAffiliation can also be used to associate a HealthcareService provided by an organization with networks.""",MAY,Server,False,NONE,Organizations and Organization Affiliations section,,,
"""An Endpoint instance provides  technical details of an endpoint that can be used for electronic services, such as a portal or FHIR REST services, messaging or operations, or DIRECT messaging.""",SHALL,Server,False,NONE,Endpoints section,,,
"""The Plan-Net Server **SHALL** [...] Implement the RESTful behavior according to the FHIR specification.""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net#fhir-restful-capabilities,,,
"""The Plan-Net Server **SHALL** [...] Return the following response classes: [...] (Status 400): invalid parameter""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net#fhir-restful-capabilities,,,
"""The Plan-Net Server **SHALL** [...] Return the following response classes: [...] (Status 401/4xx): unauthorized request""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net#fhir-restful-capabilities,,,
"""The Plan-Net Server **SHALL** [...] Return the following response classes: [...] (Status 403): insufficient scope""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net#fhir-restful-capabilities,,,
"""The Plan-Net Server **SHALL** [...] Return the following response classes: [...] (Status 404): unknown resource""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net#fhir-restful-capabilities,,,
"""The Plan-Net Server **SHALL** [...] Return the following response classes: [...] (Status 410): deleted resource""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net#fhir-restful-capabilities,,,
"""The Plan-Net Server **SHALL** [...] Support json source formats for all Plan-Net interactions.""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net#fhir-restful-capabilities,,,
"""The Plan-Net Server **SHALL** [...] Identify the Plan-Net profiles supported as part of the FHIR `meta.profile` attribute for each instance.""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net#fhir-restful-capabilities,,,
"""The Plan-Net Server **SHALL** [...] Support the searchParameters on each profile individually and in combination.""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net#fhir-restful-capabilities,,,
"""The Plan-Net Server **SHALL** [...] Support forward and reverse chaining on all search parameters that specify the 'chain' property""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net#fhir-restful-capabilities,,,
"""The Plan-Net Server **SHOULD** [...] Support xml source formats for all Plan-Net interactions.""",SHOULD,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net#fhir-restful-capabilities,,,
"""A server **SHALL** reject any unauthorized requests by returning an `HTTP 401` unauthorized response code.""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net#security,,,
