Requirement,Conformance,Actor,Conditionality,sub-requirements,URL,Req Set,Id,Sub-Requirement(s)
"""Publication of this data through a standard FHIR-based API will enable third parties to develop applications through which consumers and providers can query the participants in a payer's network that may provide services that address their health care needs.""",SHALL,Health Plan API Actor,False,NONE,Introduction section,,,
"""The IG defines the API that exposes a payer's provider network (including pharmacy locations where appropriate) for access by a consumer or provider application. This is a query only API (GET) and does not support PUT or POST.""",SHALL,Health Plan API Actor,False,NONE,"Introduction section, diagram description",,,
"""This implementation guide was written for a US audience and profiles resources from [US Core STU 4](http://hl7.org/fhir/us/core/STU3.1.1/index.html), where available (Practitioner, Organization and Location), and otherwise from R4 (OrganizationAffiliation, PractitionerRole, HealthCareService, Endpoint).""",SHALL,Health Plan API Actor,False,NONE,Relation to US Core and other IGs section,,,
"""The NPI and CLIA identifier types, which are Must-Support, are clearly intended for provider organizations only and are not expected to be populated for other organization types.""",SHALL,Health Plan API Actor,True,NONE,Relation to US Core and other IGs section,,,
"""Access to the Plan-Net service should not require authentication, and the server should not maintain any records that could associate the consumer with the entities that were queried.""",SHOULD,Server,False,NONE,Implementation Notes - Privacy Considerations section,,,
"""A conformant Plan-Net service SHALL NOT require a directory mobile application to send consumer identifying information in order to query content.""",SHALL NOT,Server,False,NONE,Implementation Notes - Privacy Considerations section,,,
"""A directory mobile application SHALL NOT send consumer identifiable information when querying a Plan-Net service.""",SHALL NOT,Client (directory mobile application),False,NONE,Implementation Notes - Privacy Considerations section,,,
"""Health Plan API actors SHALL be capable of populating all Must Support data elements as part of the query results.""",SHALL,Health Plan API,False,NONE,Implementation Notes - Must Support section,,,
"""In situations where information on a particular Must Support data element is not present and the minimum cardinality is 0, the Health Plan API actors SHALL NOT include the data elements in the resource instance returned as part of the query results.""",SHALL NOT,Health Plan API,True,NONE,Implementation Notes - Must Support section,,,
"""In situations where information on a particular data element is not present and the minimum cardinality is >0 SHALL send the reason for the missing information using values (such as nullFlavors) from the value set where they exist or use the dataAbsentReason extension.""",SHALL,Health Plan API,True,NONE,Implementation Notes - Must Support section,,,
"""Application actors SHALL be capable of processing resource instances containing the Must Support data elements without generating an error or causing the application to fail.""",SHALL,Application,False,NONE,Implementation Notes - Must Support section,,,
"""Application actors SHOULD be capable of displaying the data elements for human use or storing the information for other purposes.""",SHOULD,Application,False,NONE,Implementation Notes - Must Support section,,,
"""When querying Health Plan API actors, Application actors SHALL interpret missing Must Support data elements within resource instances as data not present in the Health Plan API actors system.""",SHALL,Application,False,NONE,Implementation Notes - Must Support section,,,
