Requirement,Conformance,Actor,Conditionality,sub-requirements,URL,*_(status_400),*_(status_401/4xx),*_(status_403),*_(status_404),*_(status_410),Req Set,Id,Sub-Requirement(s)
"""FHIR R4 servers ... SHALL not accept requests for notification FHIR versions it cannot support""",SHALL NOT,Server,False,NONE,"Examples (http://hl7.org/fhir/us/davinci-pdex-plan-net/examples.html), paragraph 5",,,,,,,,
"""[FHIR R4] servers MAY reject or coerce [requests for notification FHIR versions it cannot support], according to their policies""",MAY,Server,False,NONE,"Examples (http://hl7.org/fhir/us/davinci-pdex-plan-net/examples.html), paragraph 5",,,,,,,,
"""The content-type of the POST SHALL match the MIME type on the Subscription (Subscription.channel.payload)""",SHALL,Client,False,NONE,"Examples (http://hl7.org/fhir/us/davinci-pdex-plan-net/examples.html), paragraph 6",,,,,,,,
"""each notification MAY include additional resources or references to resources (URLs or ids)""",MAY,Server,False,NONE,"Examples (http://hl7.org/fhir/us/davinci-pdex-plan-net/examples.html), paragraph 7",,,,,,,,
"""A conformant Plan-Net service **SHALL NOT** require a directory mobile application to send consumer identifying information in order to query content.""",SHALL NOT,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#privacy-considerations,,,,,,,,
"""A directory mobile application **SHALL NOT** send consumer identifiable information when querying a Plan-Net service.""",SHALL NOT,Client,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#privacy-considerations,,,,,,,,
"""Must Support on any profile data element **SHALL** be interpreted as follows""",SHALL,"Server, Client",False,"4, 5, 6, 7, 8, 9, 10",http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,,,,,,
"""Health Plan API actors **SHALL** be capable of populating all Must Support data elements as part of the query results.""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,,,,,,
"""In situations where information on a particular Must Support data element is not present and the minimum cardinality is 0 , the Health Plan API actors **SHALL NOT** include the data elements in the resource instance returned as part of the query results.""",SHALL NOT,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,,,,,,
"""In situations where information on a particular data element is not present and the minimum cardinality is >0 **SHALL** send the reason for the missing information using values (such as nullFlavors) from the value set where they exist or use the dataAbsentReason extension.""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,,,,,,
"""Application actors **SHALL** be capable of processing resource instances containing the Must Support data elements without generating an error or causing the application to fail.""",SHALL,Client,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,,,,,,
"""Application actors **SHOULD** be capable of displaying the data elements for human use or storing the information for other purposes.""",SHOULD,Client,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,,,,,,
"""When querying Health Plan API actors, Application actors **SHALL** interpret missing Must Support data elements within resource instances as data not present in the Health Plan API actors system.""",SHALL,Client,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,,,,,,
"""Consumer App actors **SHALL** be able to process resource instances containing Must Support data elements asserting missing information.""",SHALL,Client,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#must-support,,,,,,,,
"""Each profile in this guide requires that the lastUpdate timestamp be provided as part of the profile's data content.""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#client-detection-of-updates-directory-content,,,,,,,,
"""Clients that cache query results can track additions or modifications to directory content through queries that filter content using the _lastUpdated search parameter.""",MAY,Client,True,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#client-detection-of-updates-directory-content,,,,,,,,
"""Clients should periodically check that data cached from past queries has not been deleted by querying for the same elements by _id.""",SHOULD,Client,True,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/Implementation.html#client-detection-of-updates-directory-content,,,,,,,,
"""All organizations that provide service should define an appropriate set of HealthcareServices to facilitate search.""",SHOULD,Server,False,NONE,HealthcareService Section,,,,,,,,
"""The HealthcareService category, specialty and type fields are the highest level of organization of the services provided by the provider's network.""",SHALL,Server,False,NONE,HealthcareService Section,,,,,,,,
"""Each payer will offer one or more products -- Insurance Plans -- and each plan is associated with one or more Networks.""",SHALL,Server,False,NONE,Insurance Plan and Network Section,,,,,,,,
"""Practitioners and Organizations indicate participation in a Network with a link to the Network using a PractitionerRole or OrganizationAffiliation instance, respectively.""",SHALL,Server,False,NONE,Insurance Plan and Network Section,,,,,,,,
"""PractitionerRole and OrganizationAffiliation instances are what tie Practitioners and Organizations to HealthcareServices, Organizations, Networks and Locations.""",SHALL,Server,False,NONE,Insurance Plan and Network Section,,,,,,,,
"""Location instances provide information about location where service is provided, including contact information, address, accessibility, hours of operation and contact, as well as position (lattitude and longitude).""",SHALL,Server,False,NONE,Location Section,,,,,,,,
"""Locations can also be used to represent regions using an associated or attached GeoJSON object.""",MAY,Server,False,NONE,Location Section,,,,,,,,
"""Practitioner instances provide information about a specific person, including name, gender, languages spoken, and qualifications.""",SHALL,Server,False,NONE,Practitioners and Practitioner Roles Section,,,,,,,,
"""PractitionerRole defines a role for a particular practitioner, and associates it with locations, specialties, an organization, and networks.""",SHALL,Server,False,NONE,Practitioners and Practitioner Roles Section,,,,,,,,
"""The Plan-Net Server **SHALL** [...] Implement the RESTful behavior according to the FHIR specification.""",SHALL,Plan-Net Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net/#fhir-restful-capabilities,,,,,,,,
"""The Plan-Net Server **SHALL** [...] Return the following response classes:",SHALL,Plan-Net Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net/#fhir-restful-capabilities,invalid parameter,unauthorized request,insufficient scope,unknown resource,"deleted resource.""",,,
"""The Plan-Net Server **SHALL** [...] Support json source formats for all Plan-Net interactions.""",SHALL,Plan-Net Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net/#fhir-restful-capabilities,,,,,,,,
"""The Plan-Net Server **SHALL** [...] Identify the Plan-Net profiles supported as part of the FHIR `meta.profile` attribute for each instance.""",SHALL,Plan-Net Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net/#fhir-restful-capabilities,,,,,,,,
"""The Plan-Net Server **SHALL** [...] Support the searchParameters on each profile individually and in combination.""",SHALL,Plan-Net Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net/#fhir-restful-capabilities,,,,,,,,
"""The Plan-Net Server **SHALL** [...] Support forward and reverse chaining on all search parameters that specify the 'chain' property""",SHALL,Plan-Net Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net/#fhir-restful-capabilities,,,,,,,,
"""The Plan-Net Server **SHOULD** [...] Support xml source formats for all Plan-Net interactions.""",SHOULD,Plan-Net Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net/#fhir-restful-capabilities,,,,,,,,
