Requirement,Conformance,Actor,Conditionality,sub-requirements,URL,Req Set,Id,Sub-Requirement(s)
"""The technical details of an endpoint that can be used for electronic services, such as for web services providing XDS.b or a REST endpoint for another FHIR server.""",SHALL,Client/Server,False,NONE,Profiles defined as part of this Implementation Guide,,,
"""This [Endpoint] may include any security context information.""",MAY,Client/Server,False,NONE,Profiles defined as part of this Implementation Guide,,,
"""The HealthCareService resource typically describes services offered by an organization/practitioner at a location.""",SHOULD,Server,False,NONE,PlannetHealthcareService - StructureDefinition-plannet-HealthcareService.html,,,
"""The resource [HealthCareService] may be used to encompass a variety of services covering the entire healthcare spectrum, including promotion, prevention, diagnostics, hospital and ambulatory care, home care, long-term care, and other health-related and community services.""",MAY,Server,False,NONE,PlannetHealthcareService - StructureDefinition-plannet-HealthcareService.html,,,
"""An InsurancePlan is a discrete package of health insurance coverage benefits that are offered under a particular network type.""",SHALL,Server,False,NONE,PlannetInsurancePlan - StructureDefinition-plannet-InsurancePlan.html,,,
"""A given payer’s products typically differ by network type and/or covered benefits.""",SHOULD,Server,False,NONE,PlannetInsurancePlan - StructureDefinition-plannet-InsurancePlan.html,,,
"""A plan pairs a product’s covered benefits with the particular cost sharing structure offered to a consumer.""",SHALL,Server,False,NONE,PlannetInsurancePlan - StructureDefinition-plannet-InsurancePlan.html,,,
"""A given product may comprise multiple plans (i.e. each plan offers different cost sharing requirements for the same set of covered benefits).""",MAY,Server,False,NONE,PlannetInsurancePlan - StructureDefinition-plannet-InsurancePlan.html,,,
"""InsurancePlan describes a health insurance offering comprised of a list of covered benefits (i.e. the product), costs associated with those benefits (i.e. the plan), and additional information about the offering, such as who it is owned and administered by, a coverage area, contact information, etc.""",SHALL,Server,False,NONE,PlannetInsurancePlan - StructureDefinition-plannet-InsurancePlan.html,,,
"""Each organization SHALL use the [PlannetOrganization](StructureDefinition-plannet-Organization.html) structure definition.""",SHALL,Server,False,NONE,Organization structure definition,,,
"""Each organization MAY have a specific HTML representation such as [AcmeofCTStdNet](Organization-AcmeofCTStdNet.html) or [Acme](Organization-Acme.html)""",MAY,Server,False,NONE,Organization HTML representation,,,
"""Access to the Plan-Net service should not require authentication, and the server should not maintain any records that could associate the consumer with the entities that were queried.""",SHOULD,Server,False,NONE,Privacy Considerations,,,
"""A conformant Plan-Net service SHALL NOT require a directory mobile application to send consumer identifying information in order to query content.""",SHALL NOT,Plan-Net Service,False,NONE,Privacy Considerations,,,
"""A directory mobile application SHALL NOT send consumer identifiable information when querying a Plan-Net service.""",SHALL NOT,Directory Mobile Application,False,NONE,Privacy Considerations,,,
"""Health Plan API actors SHALL be capable of populating all Must Support data elements as part of the query results.""",SHALL,Health Plan API Actors,False,NONE,Health Plan API Requirements,,,
"""In situations where information on a particular Must Support data element is not present and the minimum cardinality is 0 , the Health Plan API actors SHALL NOT include the data elements in the resource instance returned as part of the query results.""",SHALL NOT,Health Plan API Actors,True (If information on a particular Must Support data element is not present and the minimum cardinality is 0),NONE,Health Plan API Requirements,,,
"""In situations where information on a particular data element is not present and the minimum cardinality is >0 SHALL send the reason for the missing information using values (such as nullFlavors) from the value set where they exist or use the dataAbsentReason extension.""",SHALL,Health Plan API Actors,True (If information on a particular data element is not present and the minimum cardinality is >0),NONE,Health Plan API Requirements,,,
"""Application actors SHALL be capable of processing resource instances containing the Must Support data elements without generating an error or causing the application to fail.""",SHALL,Application Actors,False,NONE,Application Requirements,,,
"""Application actors SHOULD be capable of displaying the data elements for human use or storing the information for other purposes.""",SHOULD,Application Actors,False,NONE,Application Requirements,,,
"""When querying Health Plan API actors, Application actors SHALL interpret missing Must Support data elements within resource instances as data not present in the Health Plan API actors system.""",SHALL,Application Actors,False,NONE,Application Requirements,,,
