Requirement,Conformance,Actor,Conditionality,sub-requirements,URL,note,Req Set,Id,Sub-Requirement(s)
"""Fixed names of 3 search parameter files based on improved IG publisher error checking: healthcareservice-service-category, location-address-postalcode and location-address-state. All of these were mismatched with the search parameter name, so the file couldn't be found.""",SHOULD,Server,False,NONE,Change History > Changes Since v1.0.0,,,,
"""Updated Taxonomy Codes (Jira tickets [FHIR 31494](https://jira.hl7.org/browse/FHIR-33206?filter=14707)  - [FHIR 31499](https://jira.hl7.org/browse/FHIR-33206?filter=14707) )""",SHOULD,Server,False,NONE,Change History > Changes Since v1.0.0,,,,
"""Make HealthcareService Delivery Method optional (Jira ticket [FHIR 34140](https://jira.hl7.org/browse/FHIR-34140?filter=14707))""",MAY,Server,False,NONE,Change History > Changes Since v1.0.0,,,,
"""Change Organization.type binding from OrganizationType to NetworkType (Jira ticket [FHIR 28919](https://jira.hl7.org/browse/FHIR-28919?filter=14707))""",SHALL,Server,False,NONE,Change History > Changes Since v1.0.0,,,,
"""Added 'catastrophic' options to Insurance Plan Types (Jira ticket [FHIR 33205](https://jira.hl7.org/browse/FHIR-33205filter=14707))""",SHOULD,Server,False,NONE,Change History > Changes Since v1.0.0,,,,
"""Ability to manage Provider Directory List for incoming/outgoing providers (Jira ticket [FHIR 33206](https://jira.hl7.org/browse/FHIR-33206?filter=14707))""",SHALL,Server,False,NONE,Change History > Changes Since v1.0.0,,,,
"""Update Resource Relationships Diagram (Jira ticket [FHIR 34289](https://jira.hl7.org/browse/FHIR-34289?filter=14707))""",SHOULD,Server,False,NONE,Change History > Changes Since v1.0.0,,,,
"""Transitioned IG to Sushi 1.0.0 directory structure""",SHOULD,Server,False,NONE,Change History > Changes Since v1.0.0,,,,
"""The HealthCareService resource typically describes services offered by an organization/practitioner at a location.""",SHOULD,Server,False,NONE,PlannetHealthcareService,,,,
"""The resource [HealthCareService] may be used to encompass a variety of services covering the entire healthcare spectrum, including promotion, prevention, diagnostics, hospital and ambulatory care, home care, long-term care, and other health-related and community services.""",MAY,Server,False,NONE,PlannetHealthcareService,,,,
"""An InsurancePlan is a discrete package of health insurance coverage benefits that are offered under a particular network type.""",SHOULD,Server,False,NONE,PlannetInsurancePlan,,,,
"""A given payer’s products typically differ by network type and/or covered benefits.""",SHOULD,Server,False,NONE,PlannetInsurancePlan,,,,
"""A plan pairs a product’s covered benefits with the particular cost sharing structure offered to a consumer.""",SHOULD,Server,False,NONE,PlannetInsurancePlan,,,,
"""InsurancePlan describes a health insurance offering comprised of a list of covered benefits (i.e. the product), costs associated with those benefits (i.e. the plan), and additional information about the offering, such as who it is owned and administered by, a coverage area, contact information, etc.""",SHOULD,Server,False,NONE,PlannetInsurancePlan,,,,
"""This implementation guide was written for a US audience and profiles resources from [US Core STU 4](http://hl7.org/fhir/us/core/STU3.1.1/index.html), where available (Practitioner, Organization and Location), and otherwise from R4 (OrganizationAffiliation, PractitionerRole, HealthCareService, Endpoint).""",SHALL,The Implementation Guide,False,NONE,Relation to US Core and other IGs section,,,,
"""The PractitionerRole profile from US Core was not used because it is over-constrained for use in a Provider Directory based on Payer information.""",SHALL NOT,The Implementation Guide,False,NONE,Relation to US Core and other IGs section,,,,
"""The Network profile is based on USCore Organization, since there was no contradiction between the USCore profile and the Plan-Net requirements.""",SHALL,The Implementation Guide,False,NONE,Relation to US Core and other IGs section,,,,
"""The NPI and CLIA identifier types, which are Must-Support, are clearly intended for provider organizations only and are not expected to be populated for other organization types.""",MUST,Provider organizations,True (Only applies to provider organizations),NONE,Relation to US Core and other IGs section,,,,
"""Alignment with VhDir is maintained by adapting VhDir content, where possible.""",SHOULD,The Implementation Guide,False,NONE,Relation to US Core and other IGs section,,,,
"""The PDEX Payer Network implementation guide is based conceptually on the VhDir implementation guide, which is still a work in progress.""",SHALL,The Implementation Guide,False,NONE,Disclaimers and Assumptions section,,,,
"""Plan-net will need to track changes to VhDir to fulfill its goal of minimizing rework.""",SHOULD,Plan-net,False,NONE,Disclaimers and Assumptions section,,,,
"""This implementation guide assumes that the directory endpoint is known to the client.""",REQUIRED,The client,False,NONE,Disclaimers and Assumptions section,,,,
"""There is an overarching system architecture issue that is critical to resolve -- how does the client discover the FHIR endpoint of interest. For the purposes of this IG, we consider that problem out of scope.""",NOT REQUIRED,The client,False,NONE,Disclaimers and Assumptions section,,,,
"""Application Actor: A third party using the API published by a payer to provide useful views of the payer's provider networks for end users.""",SHALL,Application Actor,False,NONE,Background section in the FHIR Implementation Guide content,,,,
"""This Section describes the expected capabilities of the Plan-Net Server actor which is responsible for providing responses to the queries submitted by the Plan-Net Requestors.""",Required,Plan-Net Server,False,NONE,Plan-Net CapabilityStatement,,,,
"""The complete list of FHIR profiles, RESTful operations, and search parameters supported by Plan-Net Servers are defined.""",Required,Plan-Net Server,False,NONE,Plan-Net CapabilityStatement,,,,
"""Systems implementing this capability statement should meet the CMS Final Rule requirement for provider directory access.""",SHOULD,Systems implementing this capability statement,False,NONE,Plan-Net CapabilityStatement,,,,
"""Plan-Net Clients can use the required capabilities to access necessary data based on their local use cases and other contextual requirements.""",MAY,Plan-Net Clients,False,NONE,Plan-Net CapabilityStatement,,,,
"""Implementation Guide Version: 1.0.0""",Required,Systems implementing this capability statement,False,NONE,Plan-Net CapabilityStatement,,,,
"""FHIR Version: 4.0.1""",Required,Systems implementing this capability statement,False,NONE,Plan-Net CapabilityStatement,,,,
"""Supported formats: xml, json""",Required,Plan-Net Server,False,NONE,Plan-Net CapabilityStatement,,,,
"""Resource Type HealthcareService Supported Profiles Plan-Net HealthcareService Supported Searches location, coverage-area, organization, endpoint, name, service-category, service-type, specialty, _id, _lastUpdated Supported _includes HealthcareService:location, HealthcareService:coverage-area, HealthcareService:organization, HealthcareService:endpoint""",Required,Server,False,NONE,RESTful Capabilities by Resource/Profile: HealthcareService,,,,
"""Supported _revincludes PractitionerRole:service, OrganizationAffiliation:service""",Optional,Server,False,NONE,RESTful Capabilities by Resource/Profile: HealthcareService,The specific details of how these requirements would be tested depending on the specific implementation of the FHIR server. This extraction is based on the assumption that these are server-side requirements.,,,
"""Conformance Expectation: SHALL""",SHALL,Server,False,NONE,Organization section,,,,
"""Supported Profiles: [Plan-Net Network](StructureDefinition-plannet-Network.html), [Plan-Net Organization](StructureDefinition-plannet-Organization.html)""",SHALL,Server,False,NONE,Organization section,,,,
"""Reference Policy: `resolves`""",SHALL,Server,False,NONE,Organization section,,,,
"""**SHALL** support `search-type`, `read`.""",SHALL,Server,False,NONE,Profile Interaction Summary in Organization section,,,,
"""**SHOULD** support `vread`.""",SHOULD,Server,False,NONE,Profile Interaction Summary in Organization section,,,,
"""A Server **SHALL** be capable of returning a Organization resource using: `GET [base]/Organization/[id]`""",SHALL,Server,False,NONE,Fetch and Search Criteria in Organization section,,,,
"""A Server **SHOULD** be capable of returning a Organization resource using: `GET [base]/Organization/[id]/_history/vid`""",SHOULD,Server,False,NONE,Fetch and Search Criteria in Organization section,,,,
"""A Server **SHALL** be capable of supporting the following _includes: Organization:partof - `GET [base]/Organization?[parameter=value]&_include=Organization:partof`""",SHALL,Server,False,NONE,Fetch and Search Criteria in Organization section,,,,
"""GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:primary-organization""",Not explicitly stated,Server,False,NONE,OrganizationAffiliation:primary-organization section,,,,
"""GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:participating-organization""",Not explicitly stated,Server,False,NONE,OrganizationAffiliation:participating-organization section,,,,
"""GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:location""",Not explicitly stated,Server,False,NONE,OrganizationAffiliation:location section,,,,
"""GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:service""",Not explicitly stated,Server,False,NONE,OrganizationAffiliation:service section,,,,
"""GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:endpoint""",Not explicitly stated,Server,False,NONE,OrganizationAffiliation:endpoint section,,,,
"""GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:network""",Not explicitly stated,Server,False,NONE,OrganizationAffiliation:network section,,,,
"""GET [base]/OrganizationAffiliation?primary-organization=[primary-organization]""",SHALL,Server,False,NONE,Search Parameter Summary section,,,,
"""GET [base]/OrganizationAffiliation?participating-organization=[participating-organization]""",SHALL,Server,False,NONE,Search Parameter Summary section,,,,
"""GET [base]/OrganizationAffiliation?location=[location]""",SHALL,Server,False,NONE,Search Parameter Summary section,,,,
"""GET [base]/OrganizationAffiliation?service=[service]""",SHALL,Server,False,NONE,Search Parameter Summary section,,,,
"""GET [base]/OrganizationAffiliation?network=[network]""",SHALL,Server,False,NONE,Search Parameter Summary section,,,,
"""GET [base]/OrganizationAffiliation?endpoint=[endpoint]""",SHALL,Server,False,NONE,Search Parameter Summary section,,,,
"""GET [base]/OrganizationAffiliation?role=[system] [code]""",SHALL,Server,False,NONE,Search Parameter Summary section,,,,
"""GET [base]/OrganizationAffiliation?specialty=[system] [code]""",SHALL,Server,False,NONE,Search Parameter Summary section,,,,
"""GET [base]/OrganizationAffiliation?_id=[id]""",SHALL,Server,False,NONE,Search Parameter Summary section,,,,
"""GET [base]/OrganizationAffiliation?_lastUpdated=[_lastUpdated]""",SHALL,Server,False,NONE,Search Parameter Summary section,,,,
"""Systems conforming to this implementation guide are expected to declare conformance to one or more of the following capability statements.""",Required,Systems conforming to this implementation guide,False,NONE,Artifacts Summary > Behavior: Capability Statements,,,,
"""This Section describes the expected capabilities of the Plan-Net Server actor which is responsible for providing responses to the queries submitted by the Plan-Net Requestors.""",Required,Plan-Net Server,False,NONE,Artifacts Summary > Behavior: Capability Statements,,,,
"""The complete list of FHIR profiles, RESTful operations, and search parameters supported by Plan-Net Servers are defined.""",Required,Plan-Net Server,False,NONE,Artifacts Summary > Behavior: Capability Statements,,,,
"""Systems implementing this capability statement should meet the CMS Final Rule requirement for provider directory access.""",Should,Systems implementing this capability statement,False,NONE,Artifacts Summary > Behavior: Capability Statements,,,,
"""Plan-Net Clients can use the required capabilities to access necessary data based on their local use cases and other contextual requirements.""",Can,Plan-Net Client,False,NONE,Artifacts Summary > Behavior: Capability Statements,,,,
"""Select insurance plans of the specified type""",N/A,Client,False,NONE,"Plannet_sp_insuranceplan_type (SearchParameter-insuranceplan-type.html ""SearchParameter/insuranceplan-type"")",,,,
"""Select Locations with the specified address.city""",N/A,Client,False,NONE,"Plannet_sp_location_address_city (SearchParameter-location-address-city.html ""SearchParameter/location-address-city"")",,,,
"""Select Locations with the specified address""",N/A,Client,False,NONE,"Plannet_sp_location_address_postalcode (SearchParameter-location-address-postalcode.html ""SearchParameter/location-address-postalcode""), Plannet_sp_location_address (SearchParameter-location-address.html ""SearchParameter/location-address"")",,,,
"""Select Locations with the specified address.state""",N/A,Client,False,NONE,"Plannet_sp_location_address_state (SearchParameter-location-address-state.html ""SearchParameter/location-address-state"")",,,,
"""Select Locations with the specified endpoint""",N/A,Client,False,NONE,"Plannet_sp_location_endpoint (SearchParameter-location-endpoint.html ""SearchParameter/location-endpoint"")",,,,
"""Select Locations managed by the specified organization""",N/A,Client,False,NONE,"Plannet_sp_location_organization (SearchParameter-location-organization.html ""SearchParameter/location-organization"")","The conformance level is not explicitly mentioned in the provided content. Depending on the context of the full implementation guide, these may be interpreted as 'SHOULD', 'MUST', or 'REQUIRED'. Please consult the full implementation guide to confirm.",,,
"""Select Organizations of the specified type""",Required,Client,False,NONE,Plannet_sp_organization_type,,,,
"""Select OrganizationAffiliations with the specified endpoint""",Required,Client,False,NONE,Plannet_sp_organizationaffiliation_endpoint,,,,
"""Select OrganizationAffiliations available at the specified location""",Required,Client,False,NONE,Plannet_sp_organizationaffiliation_location,,,,
"""Select roles where the organization is a member of the specified health insurance provider network""",Required,Client,False,NONE,Plannet_sp_organizationaffiliation_network,,,,
"""Select roles filled by the specified organization""",Required,Client,False,NONE,Plannet_sp_organizationaffiliation_participating_organization,,,,
"""Select Organization Affiliations available in the specified period""",Required,Client,False,NONE,Plannet_sp_organizationaffiliation_period,,,,
"""Select roles offered by the specified organization""",Required,Client,False,NONE,Plannet_sp_organizationaffiliation_primary_organization,,,,
"""The HealthCareService resource typically describes services offered by an organization/practitioner at a location.""",Required,Server,False,NONE,Plan-Net HealthcareService description,,,,
"""The resource may be used to encompass a variety of services covering the entire healthcare spectrum, including promotion, prevention, diagnostics, pharmacy, hospital and ambulatory care, home care, long-term care, and other health-related and community services.""",MAY,Server,False,NONE,Plan-Net HealthcareService description,,,,
"""An InsurancePlan is a discrete package of health insurance coverage benefits that are offered under a particular network type.""",Required,Server,False,NONE,Plan-Net InsurancePlan description,,,,
"""A given payer’s products typically differ by network type and/or covered benefits.""",Required,Server,False,NONE,Plan-Net InsurancePlan description,,,,
"""A plan pairs a product’s covered benefits with the particular cost sharing structure offered to a consumer.""",Required,Server,False,NONE,Plan-Net InsurancePlan description,,,,
